
Joint Seat Allocation Authority 2026
IITs, IISc, NITs, IIEST, IIITs and Other-GFTIs for the Academic Year 2026-27

 Home
 CSC Login
Opening and Closing Ranks
Round No
Institute Type
Institute Name
Academic Program
Seat Type / Category
Opening/Closing Ranks for Open Seats represent CRL. Opening/Closing Ranks for EWS, OBC-NCL, SC and ST Seats represent respective Category Ranks. Opening/Closing Ranks for PwD Seats represent PwD Ranks within Respective Categories.

If the Closing/Opening rank has a suffix 'P', it indicates that the corresponding rank is from Preparatory Rank List.

Institute	Academic Program Name	Quota	Seat Type	Gender	Opening Rank	Closing Rank
Indian Institute of Information Technology (IIIT)Kota, Rajasthan	Artificial Intelligence and Data Engineering (4 Years, Bachelor of Technology)	AI	OPEN	Female-only (including Supernumerary)	31744	36794
Indian Institute of Information Technology (IIIT)Kota, Rajasthan	Artificial Intelligence and Data Engineering (4 Years, Bachelor of Technology)	AI	OPEN (PwD)	Gender-Neutral	1611	1666
Indian Institute of Information Technology (IIIT)Kota, Rajasthan	Artificial Intelligence and Data Engineering (4 Years, Bachelor of Technology)	AI	EWS	Gender-Neutral	4272	4584
Indian Institute of Information Technology (IIIT)Kota, Rajasthan	Artificial Intelligence and Data Engineering (4 Years, Bachelor of Technology)	AI	EWS	Female-only (including Supernumerary)	5758	5758
Indian Institute of Information Technology (IIIT)Kota, Rajasthan	Artificial Intelligence and Data Engineering (4 Years, Bachelor of Technology)	AI	OBC-NCL	Gender-Neutral	10042	11606
Indian Institute of Information Technology (IIIT)Kota, Rajasthan	Artificial Intelligence and Data Engineering (4 Years, Bachelor of Technology)	AI	OBC-NCL	Female-only (including Supernumerary)	15861	16139
Indian Institute of Information Technology (IIIT)Kota, Rajasthan	Artificial Intelligence and Data Engineering (4 Years, Bachelor of Technology)	AI	OBC-NCL (PwD)	Gender-Neutral	879	879
Indian Institute of Information Technology (IIIT)Kota, Rajasthan	Artificial Intelligence and Data Engineering (4 Years, Bachelor of Technology)	AI	SC	Gender-Neutral	6219	7399
Indian Institute of Information Technology (IIIT)Kota, Rajasthan	Artificial Intelligence and Data Engineering (4 Years, Bachelor of Technology)	AI	SC	Female-only (including Supernumerary)	7088	8641
Indian Institute of Information Technology (IIIT)Kota, Rajasthan	Artificial Intelligence and Data Engineering (4 Years, Bachelor of Technology)	AI	ST	Gender-Neutral	2915	3247
Indian Institute of Information Technology (IIIT)Kota, Rajasthan	Artificial Intelligence and Data Engineering (4 Years, Bachelor of Technology)	AI	ST	Female-only (including Supernumerary)	4250	4250
Indian Institute of Information Technology (IIIT)Kota, Rajasthan	Computer Science and Engineering (4 Years, Bachelor of Technology)	AI	OPEN	Gender-Neutral	17752	27568
Indian Institute of Information Technology (IIIT)Kota, Rajasthan	Computer Science and Engineering (4 Years, Bachelor of Technology)	AI	OPEN	Female-only (including Supernumerary)	22257	32514
Indian Institute of Information Technology (IIIT)Kota, Rajasthan	Computer Science and Engineering (4 Years, Bachelor of Technology)	AI	OPEN (PwD)	Gender-Neutral	762	1064
Indian Institute of Information Technology (IIIT)Kota, Rajasthan	Computer Science and Engineering (4 Years, Bachelor of Technology)	AI	OPEN (PwD)	Female-only (including Supernumerary)	1037	1037
Indian Institute of Information Technology (IIIT)Kota, Rajasthan	Computer Science and Engineering (4 Years, Bachelor of Technology)	AI	EWS	Gender-Neutral	4047	4414
Indian Institute of Information Technology (IIIT)Kota, Rajasthan	Computer Science and Engineering (4 Years, Bachelor of Technology)	AI	EWS	Female-only (including Supernumerary)	4959	5520
Indian Institute of Information Technology (IIIT)Kota, Rajasthan	Computer Science and Engineering (4 Years, Bachelor of Technology)	AI	EWS (PwD)	Gender-Neutral	134	134
Indian Institute of Information Technology (IIIT)Kota, Rajasthan	Computer Science and Engineering (4 Years, Bachelor of Technology)	AI	OBC-NCL	Gender-Neutral	7807	11075
Indian Institute of Information Technology (IIIT)Kota, Rajasthan	Computer Science and Engineering (4 Years, Bachelor of Technology)	AI	OBC-NCL	Female-only (including Supernumerary)	9371	15484
Indian Institute of Information Technology (IIIT)Kota, Rajasthan	Computer Science and Engineering (4 Years, Bachelor of Technology)	AI	OBC-NCL (PwD)	Gender-Neutral	669	865
Indian Institute of Information Technology (IIIT)Kota, Rajasthan	Computer Science and Engineering (4 Years, Bachelor of Technology)	AI	OBC-NCL (PwD)	Female-only (including Supernumerary)	930	930
Indian Institute of Information Technology (IIIT)Kota, Rajasthan	Computer Science and Engineering (4 Years, Bachelor of Technology)	AI	SC	Gender-Neutral	4680	6937
Indian Institute of Information Technology (IIIT)Kota, Rajasthan	Computer Science and Engineering (4 Years, Bachelor of Technology)	AI	SC	Female-only (including Supernumerary)	7367	8474
Indian Institute of Information Technology (IIIT)Kota, Rajasthan	Computer Science and Engineering (4 Years, Bachelor of Technology)	AI	ST	Gender-Neutral	1286	2903
Indian Institute of Information Technology (IIIT)Kota, Rajasthan	Computer Science and Engineering (4 Years, Bachelor of Technology)	AI	ST	Female-only (including Supernumerary)	2658	3909
Indian Institute of Information Technology (IIIT)Kota, Rajasthan	Electronics and Communication Engineering (4 Years, Bachelor of Technology)	AI	OPEN	Gender-Neutral	23695	34014
Indian Institute of Information Technology (IIIT)Kota, Rajasthan	Electronics and Communication Engineering (4 Years, Bachelor of Technology)	AI	OPEN	Female-only (including Supernumerary)	38025	41841
Indian Institute of Information Technology (IIIT)Kota, Rajasthan	Electronics and Communication Engineering (4 Years, Bachelor of Technology)	AI	OPEN (PwD)	Gender-Neutral	1411	1411
Indian Institute of Information Technology (IIIT)Kota, Rajasthan	Electronics and Communication Engineering (4 Years, Bachelor of Technology)	AI	EWS	Gender-Neutral	4943	5390
Indian Institute of Information Technology (IIIT)Kota, Rajasthan	Electronics and Communication Engineering (4 Years, Bachelor of Technology)	AI	EWS	Female-only (including Supernumerary)	6234	6338
Indian Institute of Information Technology (IIIT)Kota, Rajasthan	Electronics and Communication Engineering (4 Years, Bachelor of Technology)	AI	OBC-NCL	Gender-Neutral	11529	13851
Indian Institute of Information Technology (IIIT)Kota, Rajasthan	Electronics and Communication Engineering (4 Years, Bachelor of Technology)	AI	OBC-NCL	Female-only (including Supernumerary)	14559	17160
Indian Institute of Information Technology (IIIT)Kota, Rajasthan	Electronics and Communication Engineering (4 Years, Bachelor of Technology)	AI	OBC-NCL (PwD)	Gender-Neutral	976	976
Indian Institute of Information Technology (IIIT)Kota, Rajasthan	Electronics and Communication Engineering (4 Years, Bachelor of Technology)	AI	SC	Gender-Neutral	6488	7658
Indian Institute of Information Technology (IIIT)Kota, Rajasthan	Electronics and Communication Engineering (4 Years, Bachelor of Technology)	AI	SC	Female-only (including Supernumerary)	8611	8763
Indian Institute of Information Technology (IIIT)Kota, Rajasthan	Electronics and Communication Engineering (4 Years, Bachelor of Technology)	AI	ST	Gender-Neutral	2932	3427
Indian Institute of Information Technology (IIIT)Kota, Rajasthan	Electronics and Communication Engineering (4 Years, Bachelor of Technology)	AI	ST	Female-only (including Supernumerary)	4633	4633
Indian Institute of Information Technology Guwahati	Computer Science and Engineering (4 Years, Bachelor of Technology)	AI	OPEN	Gender-Neutral	11116	22044
Indian Institute of Information Technology Guwahati	Computer Science and Engineering (4 Years, Bachelor of Technology)	AI	OPEN	Female-only (including Supernumerary)	22996	32724
Indian Institute of Information Technology Guwahati	Computer Science and Engineering (4 Years, Bachelor of Technology)	AI	OPEN (PwD)	Gender-Neutral	772	1266
Indian Institute of Information Technology Guwahati	Computer Science and Engineering (4 Years, Bachelor of Technology)	AI	OPEN (PwD)	Female-only (including Supernumerary)	1727	1727
Indian Institute of Information Technology Guwahati	Computer Science and Engineering (4 Years, Bachelor of Technology)	AI	EWS	Gender-Neutral	3092	3528
Indian Institute of Information Technology Guwahati	Computer Science and Engineering (4 Years, Bachelor of Technology)	AI	EWS	Female-only (including Supernumerary)	4810	4924
Indian Institute of Information Technology Guwahati	Computer Science and Engineering (4 Years, Bachelor of Technology)	AI	EWS (PwD)	Gender-Neutral	246	246
Indian Institute of Information Technology Guwahati	Computer Science and Engineering (4 Years, Bachelor of Technology)	AI	OBC-NCL	Gender-Neutral	5930	8720
Indian Institute of Information Technology Guwahati	Computer Science and Engineering (4 Years, Bachelor of Technology)	AI	OBC-NCL	Female-only (including Supernumerary)	10446	13571
Indian Institute of Information Technology Guwahati	Computer Science and Engineering (4 Years, Bachelor of Technology)	AI	OBC-NCL (PwD)	Gender-Neutral	637	742
Indian Institute of Information Technology Guwahati	Computer Science and Engineering (4 Years, Bachelor of Technology)	AI	SC	Gender-Neutral	3017	5624
Indian Institute of Information Technology Guwahati	Computer Science and Engineering (4 Years, Bachelor of Technology)	AI	SC	Female-only (including Supernumerary)	6797	7109
Indian Institute of Information Technology Guwahati	Computer Science and Engineering (4 Years, Bachelor of Technology)	AI	ST	Gender-Neutral	282	2864
Indian Institute of Information Technology Guwahati	Computer Science and Engineering (4 Years, Bachelor of Technology)	AI	ST	Female-only (including Supernumerary)	3259	3552
Indian Institute of Information Technology Guwahati	Electronics and Communication Engineering (4 Years, Bachelor of Technology)	AI	OPEN	Gender-Neutral	10426	29112
Indian Institute of Information Technology Guwahati	Electronics and Communication Engineering (4 Years, Bachelor of Technology)	AI	OPEN	Female-only (including Supernumerary)	33953	40619
Indian Institute of Information Technology Guwahati	Electronics and Communication Engineering (4 Years, Bachelor of Technology)	AI	OPEN (PwD)	Gender-Neutral	2050	2053
Indian Institute of Information Technology Guwahati	Electronics and Communication Engineering (4 Years, Bachelor of Technology)	AI	EWS	Gender-Neutral	4359	4941
Indian Institute of Information Technology Guwahati	Electronics and Communication Engineering (4 Years, Bachelor of Technology)	AI	EWS	Female-only (including Supernumerary)	6669	6669
Indian Institute of Information Technology Guwahati	Electronics and Communication Engineering (4 Years, Bachelor of Technology)	AI	OBC-NCL	Gender-Neutral	8719	11089
Indian Institute of Information Technology Guwahati	Electronics and Communication Engineering (4 Years, Bachelor of Technology)	AI	OBC-NCL	Female-only (including Supernumerary)	15851	17332
Indian Institute of Information Technology Guwahati	Electronics and Communication Engineering (4 Years, Bachelor of Technology)	AI	OBC-NCL (PwD)	Gender-Neutral	1093	1093
Indian Institute of Information Technology Guwahati	Electronics and Communication Engineering (4 Years, Bachelor of Technology)	AI	SC	Gender-Neutral	1076	6721
Indian Institute of Information Technology Guwahati	Electronics and Communication Engineering (4 Years, Bachelor of Technology)	AI	SC	Female-only (including Supernumerary)	9068	9217
Indian Institute of Information Technology Guwahati	Electronics and Communication Engineering (4 Years, Bachelor of Technology)	AI	SC (PwD)	Gender-Neutral	228	228
Indian Institute of Information Technology Guwahati	Electronics and Communication Engineering (4 Years, Bachelor of Technology)	AI	ST	Gender-Neutral	1587	3235
Indian Institute of Information Technology Guwahati	Electronics and Communication Engineering (4 Years, Bachelor of Technology)	AI	ST	Female-only (including Supernumerary)	607	607
Indian Institute of Information Technology Guwahati	Electronics Communication and Artificial Intelligence (4 Years, Bachelor of Technology)	AI	OPEN	Gender-Neutral	19408	28757
Indian Institute of Information Technology Guwahati	Electronics Communication and Artificial Intelligence (4 Years, Bachelor of Technology)	AI	OPEN	Female-only (including Supernumerary)	32448	40126
Indian Institute of Information Technology Guwahati	Electronics Communication and Artificial Intelligence (4 Years, Bachelor of Technology)	AI	OPEN (PwD)	Gender-Neutral	2021	2021
Indian Institute of Information Technology Guwahati	Electronics Communication and Artificial Intelligence (4 Years, Bachelor of Technology)	AI	EWS	Gender-Neutral	4387	5038
Indian Institute of Information Technology Guwahati	Electronics Communication and Artificial Intelligence (4 Years, Bachelor of Technology)	AI	EWS	Female-only (including Supernumerary)	6477	6678
Indian Institute of Information Technology Guwahati	Electronics Communication and Artificial Intelligence (4 Years, Bachelor of Technology)	AI	OBC-NCL	Gender-Neutral	8756	11949
Indian Institute of Information Technology Guwahati	Electronics Communication and Artificial Intelligence (4 Years, Bachelor of Technology)	AI	OBC-NCL	Female-only (including Supernumerary)	15866	16695
Indian Institute of Information Technology Guwahati	Electronics Communication and Artificial Intelligence (4 Years, Bachelor of Technology)	AI	OBC-NCL (PwD)	Gender-Neutral	995	995
Indian Institute of Information Technology Guwahati	Electronics Communication and Artificial Intelligence (4 Years, Bachelor of Technology)	AI	SC	Gender-Neutral	4913	7560
Indian Institute of Information Technology Guwahati	Electronics Communication and Artificial Intelligence (4 Years, Bachelor of Technology)	AI	SC	Female-only (including Supernumerary)	7217	9222
Indian Institute of Information Technology Guwahati	Electronics Communication and Artificial Intelligence (4 Years, Bachelor of Technology)	AI	ST	Gender-Neutral	2924	3568
Indian Institute of Information Technology Guwahati	Electronics Communication and Artificial Intelligence (4 Years, Bachelor of Technology)	AI	ST	Female-only (including Supernumerary)	4458	4458
Indian Institute of Information Technology(IIIT) Kalyani, West Bengal	Computer Science and Engineering ( Artificial Intelligence & Data Science) (4 Years, Bachelor of Technology)	AI	OPEN	Gender-Neutral	29354	36309
Indian Institute of Information Technology(IIIT) Kalyani, West Bengal	Computer Science and Engineering ( Artificial Intelligence & Data Science) (4 Years, Bachelor of Technology)	AI	OPEN	Female-only (including Supernumerary)	40438	40438
Indian Institute of Information Technology(IIIT) Kalyani, West Bengal	Computer Science and Engineering ( Artificial Intelligence & Data Science) (4 Years, Bachelor of Technology)	AI	EWS	Gender-Neutral	5605	6215
Indian Institute of Information Technology(IIIT) Kalyani, West Bengal	Computer Science and Engineering ( Artificial Intelligence & Data Science) (4 Years, Bachelor of Technology)	AI	OBC-NCL	Gender-Neutral	11116	15886
Indian Institute of Information Technology(IIIT) Kalyani, West Bengal	Computer Science and Engineering ( Artificial Intelligence & Data Science) (4 Years, Bachelor of Technology)	AI	OBC-NCL	Female-only (including Supernumerary)	18630	18630
Indian Institute of Information Technology(IIIT) Kalyani, West Bengal	Computer Science and Engineering ( Artificial Intelligence & Data Science) (4 Years, Bachelor of Technology)	AI	SC	Gender-Neutral	3237	5124
Indian Institute of Information Technology(IIIT) Kalyani, West Bengal	Computer Science and Engineering ( Artificial Intelligence & Data Science) (4 Years, Bachelor of Technology)	AI	ST	Gender-Neutral	3957	4364
Indian Institute of Information Technology(IIIT) Kalyani, West Bengal	Computer Science and Engineering (4 Years, Bachelor of Technology)	AI	OPEN	Gender-Neutral	18548	40190
